#Algoritmo: Algoritmo Simulated Annealing, Problema: Problema de HimmelBlau
tiempo,best_score,best_position_x,best_position_y
0.664,2.64992,-3.56026, -3.28595
0.669,2.64992,-3.56026, -3.28595
0.672,2.64992,-3.56026, -3.28595
0.677,2.64992,-3.56026, -3.28595
0.681,2.64992,-3.56026, -3.28595
0.685,2.64992,-3.56026, -3.28595
0.69,2.64992,-3.56026, -3.28595
0.695,2.64992,-3.56026, -3.28595
0.699,2.64992,-3.56026, -3.28595
0.703,2.64992,-3.56026, -3.28595
0.707,2.64992,-3.56026, -3.28595
0.711,2.64992,-3.56026, -3.28595
0.715,2.64992,-3.56026, -3.28595
0.719,2.64992,-3.56026, -3.28595
0.724,2.64992,-3.56026, -3.28595
0.729,2.64992,-3.56026, -3.28595
0.734,2.64992,-3.56026, -3.28595
0.737,2.64992,-3.56026, -3.28595
0.742,2.64992,-3.56026, -3.28595
0.747,2.64992,-3.56026, -3.28595
0.75,2.64992,-3.56026, -3.28595
0.754,2.64992,-3.56026, -3.28595
0.759,2.64992,-3.56026, -3.28595
0.764,2.64992,-3.56026, -3.28595
0.769,2.64992,-3.56026, -3.28595
0.774,2.64992,-3.56026, -3.28595
0.779,2.64992,-3.56026, -3.28595
0.783,2.64992,-3.56026, -3.28595
0.788,2.64992,-3.56026, -3.28595
0.792,2.64992,-3.56026, -3.28595
0.797,2.64992,-3.56026, -3.28595
0.801,2.64992,-3.56026, -3.28595
0.805,2.64992,-3.56026, -3.28595
0.82,2.64992,-3.56026, -3.28595
0.825,2.64992,-3.56026, -3.28595
0.829,2.64992,-3.56026, -3.28595
0.834,2.64992,-3.56026, -3.28595
0.839,2.64992,-3.56026, -3.28595
0.843,2.64992,-3.56026, -3.28595
0.848,2.64992,-3.56026, -3.28595
0.852,2.64992,-3.56026, -3.28595
0.857,2.64992,-3.56026, -3.28595
0.862,2.64992,-3.56026, -3.28595
0.867,2.64992,-3.56026, -3.28595
0.871,2.64992,-3.56026, -3.28595
0.877,2.64992,-3.56026, -3.28595
0.882,2.64992,-3.56026, -3.28595
0.888,2.64992,-3.56026, -3.28595
0.892,2.64992,-3.56026, -3.28595
0.896,2.64992,-3.56026, -3.28595
0.901,2.64992,-3.56026, -3.28595
0.906,2.64992,-3.56026, -3.28595
0.91,2.64992,-3.56026, -3.28595
0.915,2.64992,-3.56026, -3.28595
0.919,2.64992,-3.56026, -3.28595
0.924,2.64992,-3.56026, -3.28595
0.93,2.64992,-3.56026, -3.28595
0.935,2.64992,-3.56026, -3.28595
0.94,2.64992,-3.56026, -3.28595
0.944,2.64992,-3.56026, -3.28595
0.95,2.64992,-3.56026, -3.28595
0.953,2.64992,-3.56026, -3.28595
0.958,2.64992,-3.56026, -3.28595
0.963,2.64992,-3.56026, -3.28595
0.968,2.64992,-3.56026, -3.28595
0.973,2.64992,-3.56026, -3.28595
0.977,2.64992,-3.56026, -3.28595
0.982,2.64992,-3.56026, -3.28595
0.986,2.64992,-3.56026, -3.28595
0.991,2.64992,-3.56026, -3.28595
0.995,2.64992,-3.56026, -3.28595
0.998,2.64992,-3.56026, -3.28595
1.004,2.64992,-3.56026, -3.28595
1.008,2.64992,-3.56026, -3.28595
1.013,2.64992,-3.56026, -3.28595
1.017,2.64992,-3.56026, -3.28595
1.021,2.64992,-3.56026, -3.28595
1.026,2.64992,-3.56026, -3.28595
1.031,2.64992,-3.56026, -3.28595
1.036,2.64992,-3.56026, -3.28595
1.041,2.64992,-3.56026, -3.28595
1.045,2.64992,-3.56026, -3.28595
1.049,2.64992,-3.56026, -3.28595
1.053,2.64992,-3.56026, -3.28595
1.058,2.64992,-3.56026, -3.28595
1.062,2.64992,-3.56026, -3.28595
1.067,2.64992,-3.56026, -3.28595
1.072,2.64992,-3.56026, -3.28595
1.075,2.64992,-3.56026, -3.28595
1.079,2.64992,-3.56026, -3.28595
1.083,2.64992,-3.56026, -3.28595
1.088,2.64992,-3.56026, -3.28595
1.094,2.64992,-3.56026, -3.28595
1.097,2.64992,-3.56026, -3.28595
1.103,2.64992,-3.56026, -3.28595
1.108,2.64992,-3.56026, -3.28595
1.112,2.64992,-3.56026, -3.28595
1.116,2.64992,-3.56026, -3.28595
1.121,2.64992,-3.56026, -3.28595
1.125,2.64992,-3.56026, -3.28595
1.13,2.64992,-3.56026, -3.28595
1.134,2.64992,-3.56026, -3.28595
1.137,2.64992,-3.56026, -3.28595
1.142,2.64992,-3.56026, -3.28595
1.146,2.64992,-3.56026, -3.28595
1.151,2.64992,-3.56026, -3.28595
1.156,2.64992,-3.56026, -3.28595
1.16,2.64992,-3.56026, -3.28595
1.165,2.64992,-3.56026, -3.28595
1.17,2.64992,-3.56026, -3.28595
1.191,2.64992,-3.56026, -3.28595
1.196,2.64992,-3.56026, -3.28595
1.201,2.64992,-3.56026, -3.28595
1.205,2.64992,-3.56026, -3.28595
1.21,2.64992,-3.56026, -3.28595
1.214,2.64992,-3.56026, -3.28595
1.218,2.64992,-3.56026, -3.28595
1.222,2.64992,-3.56026, -3.28595
1.228,2.64992,-3.56026, -3.28595
1.233,2.64992,-3.56026, -3.28595
1.237,2.64992,-3.56026, -3.28595
1.243,2.64992,-3.56026, -3.28595
1.248,2.64992,-3.56026, -3.28595
1.253,2.64992,-3.56026, -3.28595
1.258,2.64992,-3.56026, -3.28595
1.262,2.64992,-3.56026, -3.28595
1.282,2.64992,-3.56026, -3.28595
1.287,2.64992,-3.56026, -3.28595
1.291,2.64992,-3.56026, -3.28595
1.296,2.64992,-3.56026, -3.28595
1.301,2.64992,-3.56026, -3.28595
1.306,2.64992,-3.56026, -3.28595
1.311,2.64992,-3.56026, -3.28595
1.316,2.64992,-3.56026, -3.28595
1.32,2.64992,-3.56026, -3.28595
1.325,2.64992,-3.56026, -3.28595
1.329,2.64992,-3.56026, -3.28595
1.334,2.64992,-3.56026, -3.28595
1.339,2.64992,-3.56026, -3.28595
1.343,2.64992,-3.56026, -3.28595
1.348,2.64992,-3.56026, -3.28595
1.352,2.64992,-3.56026, -3.28595
1.357,2.64992,-3.56026, -3.28595
1.361,2.64992,-3.56026, -3.28595
1.366,2.64992,-3.56026, -3.28595
1.371,2.64992,-3.56026, -3.28595
1.375,2.64992,-3.56026, -3.28595
1.38,2.64992,-3.56026, -3.28595
1.385,2.64992,-3.56026, -3.28595
1.389,2.64992,-3.56026, -3.28595
1.394,2.64992,-3.56026, -3.28595
1.398,2.64992,-3.56026, -3.28595
1.403,2.64992,-3.56026, -3.28595
1.408,2.64338,-2.88738, 2.87674
1.42,2.64338,-2.88738, 2.87674
1.425,2.64338,-2.88738, 2.87674
1.43,2.64338,-2.88738, 2.87674
1.435,2.64338,-2.88738, 2.87674
1.44,2.64338,-2.88738, 2.87674
1.444,2.64338,-2.88738, 2.87674
1.45,2.64338,-2.88738, 2.87674
1.454,0.941538,-2.90454, 3.00688
1.459,0.941538,-2.90454, 3.00688
1.464,0.941538,-2.90454, 3.00688
1.468,0.941538,-2.90454, 3.00688
1.472,0.941538,-2.90454, 3.00688
1.476,0.941538,-2.90454, 3.00688
1.48,0.941538,-2.90454, 3.00688
1.486,0.941538,-2.90454, 3.00688
1.49,0.941538,-2.90454, 3.00688
1.495,0.941538,-2.90454, 3.00688
1.5,0.941538,-2.90454, 3.00688
1.505,0.941538,-2.90454, 3.00688
1.509,0.941538,-2.90454, 3.00688
1.514,0.941538,-2.90454, 3.00688
1.519,0.941538,-2.90454, 3.00688
1.523,0.941538,-2.90454, 3.00688
1.528,0.941538,-2.90454, 3.00688
1.532,0.941538,-2.90454, 3.00688
1.537,0.941538,-2.90454, 3.00688
1.541,0.941538,-2.90454, 3.00688
1.545,0.941538,-2.90454, 3.00688
1.55,0.941538,-2.90454, 3.00688
1.554,0.0147269,-2.7858, 3.13916
1.559,0.0147269,-2.7858, 3.13916
1.564,0.0147269,-2.7858, 3.13916
1.569,0.0147269,-2.7858, 3.13916
1.573,0.0147269,-2.7858, 3.13916
1.577,0.0147269,-2.7858, 3.13916
1.582,0.0147269,-2.7858, 3.13916
1.587,0.0147269,-2.7858, 3.13916
1.591,0.0147269,-2.7858, 3.13916
1.596,0.0147269,-2.7858, 3.13916
1.601,0.0147269,-2.7858, 3.13916
1.605,0.0147269,-2.7858, 3.13916
1.61,0.0147269,-2.7858, 3.13916
1.614,0.0147269,-2.7858, 3.13916
1.619,0.0147269,-2.7858, 3.13916
1.628,0.0147269,-2.7858, 3.13916
1.633,0.0147269,-2.7858, 3.13916
1.637,0.0147269,-2.7858, 3.13916
1.642,0.0147269,-2.7858, 3.13916
1.646,0.0147269,-2.7858, 3.13916
1.651,0.0147269,-2.7858, 3.13916
1.655,0.0147269,-2.7858, 3.13916
1.66,0.0147269,-2.7858, 3.13916
1.664,0.0147269,-2.7858, 3.13916
1.669,0.0147269,-2.7858, 3.13916
1.674,0.0147269,-2.7858, 3.13916
1.678,0.0147269,-2.7858, 3.13916
1.683,0.0147269,-2.7858, 3.13916
1.687,0.0147269,-2.7858, 3.13916
1.692,0.0147269,-2.7858, 3.13916
1.697,0.0147269,-2.7858, 3.13916
1.701,0.0147269,-2.7858, 3.13916
1.706,0.0147269,-2.7858, 3.13916
1.711,0.0147269,-2.7858, 3.13916
1.715,0.0147269,-2.7858, 3.13916
1.72,0.0147269,-2.7858, 3.13916
1.725,0.0147269,-2.7858, 3.13916
1.729,0.0147269,-2.7858, 3.13916
1.735,0.0147269,-2.7858, 3.13916
1.739,0.0147269,-2.7858, 3.13916
1.744,0.0147269,-2.7858, 3.13916
1.749,0.0147269,-2.7858, 3.13916
1.754,0.0147269,-2.7858, 3.13916
1.758,0.0147269,-2.7858, 3.13916
1.762,0.0147269,-2.7858, 3.13916
1.767,0.0147269,-2.7858, 3.13916
1.771,0.0147269,-2.7858, 3.13916
1.776,0.0147269,-2.7858, 3.13916
1.781,0.0147269,-2.7858, 3.13916
1.785,0.0147269,-2.7858, 3.13916
1.789,0.0147269,-2.7858, 3.13916
1.794,0.0147269,-2.7858, 3.13916
1.799,0.0147269,-2.7858, 3.13916
1.804,0.0147269,-2.7858, 3.13916
1.808,0.0147269,-2.7858, 3.13916
1.813,0.0147269,-2.7858, 3.13916
1.817,0.0147269,-2.7858, 3.13916
1.821,0.0147269,-2.7858, 3.13916
1.826,0.0147269,-2.7858, 3.13916
1.83,0.0147269,-2.7858, 3.13916
1.836,0.0147269,-2.7858, 3.13916
1.84,0.0147269,-2.7858, 3.13916
1.845,0.0147269,-2.7858, 3.13916
1.851,0.0147269,-2.7858, 3.13916
1.855,0.0147269,-2.7858, 3.13916
1.861,0.0147269,-2.7858, 3.13916
1.864,0.0147269,-2.7858, 3.13916
1.869,0.0147269,-2.7858, 3.13916
1.872,0.0147269,-2.7858, 3.13916
1.878,0.0147269,-2.7858, 3.13916
1.882,0.0147269,-2.7858, 3.13916
1.886,0.0147269,-2.7858, 3.13916
1.891,0.0147269,-2.7858, 3.13916
1.895,0.0147269,-2.7858, 3.13916
1.899,0.0147269,-2.7858, 3.13916
1.905,0.0147269,-2.7858, 3.13916
1.909,0.0147269,-2.7858, 3.13916
1.914,0.0147269,-2.7858, 3.13916
1.919,0.0147269,-2.7858, 3.13916
1.924,0.0147269,-2.7858, 3.13916
1.928,0.0147269,-2.7858, 3.13916
1.933,0.0147269,-2.7858, 3.13916
1.937,0.0147269,-2.7858, 3.13916
1.942,0.0147269,-2.7858, 3.13916
1.947,0.0147269,-2.7858, 3.13916
1.959,0.0147269,-2.7858, 3.13916
1.964,0.0147269,-2.7858, 3.13916
1.968,0.0147269,-2.7858, 3.13916
1.974,0.0147269,-2.7858, 3.13916
1.979,0.0147269,-2.7858, 3.13916
1.985,0.0147269,-2.7858, 3.13916
